Time (UTC+10),Regions NSW Trading Total Intermittent Generation (MW),Regions SA Trading Total Intermittent Generation (MW),Regions TAS Trading Total Intermittent Generation (MW),Regions VIC Trading Total Intermittent Generation (MW),Regions NSW Operational Demand (MW),Regions SA Operational Demand (MW),Regions TAS Operational Demand (MW),Regions VIC Operational Demand (MW)
2018-01-01 00:00:00,0.18,60.53,121.68,146.87,7100,1398,1091,4599
2018-01-01 00:30:00,0.15,43.07,118.73,131.68,6974,1359,1082,4398
2018-01-01 01:00:00,0.13,41.67,110.48,119.98,6790,1316,1071,4238
2018-01-01 01:30:00,0.14,42.15,120.09,123.86,6536,1240,1067,4112
2018-01-01 02:00:00,0.16,38.31,114.64,132.72,6339,1194,1061,3956
2018-01-01 02:30:00,0.16,33.39,112.9,120.73,6195,1163,1060,3833
2018-01-01 03:00:00,0.17,30.46,111.15,128.69,6067,1151,1058,3749
2018-01-01 03:30:00,0.18,28.04,88.45,122.97,6029,1133,1044,3702
2018-01-01 04:00:00,0.43,38.62,55.27,116.66,5985,1115,1037,3688
2018-01-01 04:30:00,0.8,40.71,84.49,125.17,6005,1106,1042,3700
2018-01-01 05:00:00,0.97,35.56,99.96,112.73,6012,1109,1058,3701
2018-01-01 05:30:00,1.47,34.73,100.09,126.54,6037,1106,1059,3721
2018-01-01 06:00:00,2.21,31.3,78.69,149.29,6118,1096,1062,3731
2018-01-01 06:30:00,3.31,42.19,68.4,159.9,6246,1087,1070,3786
2018-01-01 07:00:00,7.21,39.09,72.7,155.03,6390,1073,1074,3811
2018-01-01 07:30:00,11.86,35.83,62.4,124.56,6600,1061,1081,3776
2018-01-01 08:00:00,15.81,47.92,86.92,105.21,6776,1041,1098,3802
2018-01-01 08:30:00,19.54,29.87,87.51,83.25,6935,1008,1111,3835
2018-01-01 09:00:00,22.68,23.16,116.8,66.24,7119,970,1120,3829
2018-01-01 09:30:00,25.83,29.02,109.13,73.56,7350,947,1132,3856
2018-01-01 10:00:00,28.52,53.29,80.13,84.96,7555,907,1130,3846
2018-01-01 10:30:00,30.48,40.2,97.66,64.0,7701,866,1131,3833
2018-01-01 11:00:00,31.54,29.12,87.45,81.7,7790,833,1128,3834
2018-01-01 11:30:00,31.95,34.95,68.45,113.44,7841,802,1110,3844
2018-01-01 12:00:00,32.46,48.32,61.17,122.39,7832,763,1107,3865
2018-01-01 12:30:00,33.09,49.15,58.65,129.18,7858,724,1091,3871
2018-01-01 13:00:00,34.08,59.73,48.5,118.18,7922,720,1071,3888
2018-01-01 13:30:00,31.59,52.46,44.96,132.45,7977,722,1071,3941
2018-01-01 14:00:00,30.75,79.23,45.52,136.74,8052,741,1068,4022
2018-01-01 14:30:00,23.69,75.03,51.81,142.04,8120,763,1064,4118
2018-01-01 15:00:00,23.51,75.61,54.11,121.6,8246,801,1063,4241
2018-01-01 15:30:00,21.8,81.6,25.9,109.16,8387,857,1078,4383
2018-01-01 16:00:00,18.57,92.24,32.74,101.92,8540,930,1105,4527
2018-01-01 16:30:00,46.22,136.76,39.24,104.47,8690,1027,1130,4687
2018-01-01 17:00:00,93.53,128.57,57.23,105.16,8861,1106,1156,4809
