Time (UTC+10),Regions VIC Trading Price ($/MWh),Regions VIC Trading Total Intermittent Generation (MW),Regions VIC Operational Demand (MW)
2018/1/1 0:00,90.43,146.87,4599
2018/1/1 0:30,92.46,131.68,4398
2018/1/1 1:00,87.62,119.98,4238
2018/1/1 1:30,73.08,123.86,4112
2018/1/1 2:00,70.18,132.72,3956
2018/1/1 2:30,67.43,120.73,3833
2018/1/1 3:00,66.31,128.69,3749
2018/1/1 3:30,67.72,122.97,3702
2018/1/1 4:00,65.5,116.66,3688
2018/1/1 4:30,64.5,125.17,3700
2018/1/1 5:00,65.41,112.73,3701
2018/1/1 5:30,63.66,126.54,3721
2018/1/1 6:00,59.9,149.29,3731
2018/1/1 6:30,64.67,159.9,3786
2018/1/1 7:00,66.89,155.03,3811
2018/1/1 7:30,67.06,124.56,3776
2018/1/1 8:00,67.49,105.21,3802
2018/1/1 8:30,67.12,83.25,3835
2018/1/1 9:00,67.47,66.24,3829
2018/1/1 9:30,71.02,73.56,3856
2018/1/1 10:00,71.08,84.96,3846
2018/1/1 10:30,71.13,64,3833
2018/1/1 11:00,74.86,81.7,3834
2018/1/1 11:30,72.45,113.44,3844
2018/1/1 12:00,66.51,122.39,3865
2018/1/1 12:30,64.77,129.18,3871
2018/1/1 13:00,70.02,118.18,3888
2018/1/1 13:30,76.04,132.45,3941
2018/1/1 14:00,76.8,136.74,4022
2018/1/1 14:30,76.77,142.04,4118
2018/1/1 15:00,73.21,121.6,4241
2018/1/1 15:30,78.59,109.16,4383
2018/1/1 16:00,85.27,101.92,4527
2018/1/1 16:30,80.8,104.47,4687
2018/1/1 17:00,81.76,105.16,4809
2018/1/1 17:30,75.14,109.4,4863
2018/1/1 18:00,73.45,124.84,4880
2018/1/1 18:30,68.77,151.51,4840
2018/1/1 19:00,70.64,181.25,4760
2018/1/1 19:30,67.8,185.54,4667
2018/1/1 20:00,73.9,179.73,4602
2018/1/1 20:30,77.97,172.92,4602
2018/1/1 21:00,70.04,175.67,4516
2018/1/1 21:30,71.25,166.08,4425
2018/1/1 22:00,66.06,158.81,4329
2018/1/1 22:30,64.77,114.76,4254
2018/1/1 23:00,61.09,96.57,4228
2018/1/1 23:30,63.55,100.23,4429
2018/1/2 0:00,60.31,100.61,4436
2018/1/2 0:30,57.33,105.78,4259
2018/1/2 1:00,56.32,118.78,4123
2018/1/2 1:30,51.96,111.36,4032
2018/1/2 2:00,53.57,90.74,3899
2018/1/2 2:30,52.5,89.41,3799
2018/1/2 3:00,53.61,87.41,3750
2018/1/2 3:30,53.13,87.9,3744
2018/1/2 4:00,53.75,76.44,3757
2018/1/2 4:30,51.11,75.28,3844
2018/1/2 5:00,66.34,78.21,3937
2018/1/2 5:30,67.81,55.39,4071
2018/1/2 6:00,69.3,66.86,4198
2018/1/2 6:30,68.97,69.5,4405
2018/1/2 7:00,77.13,62.01,4570
2018/1/2 7:30,72.24,81.57,4579
2018/1/2 8:00,73.57,117.11,4666
2018/1/2 8:30,77.12,130.06,4689
2018/1/2 9:00,82.21,101,4687
2018/1/2 9:30,77.9,141.79,4699
2018/1/2 10:00,71.6,151.29,4703
2018/1/2 10:30,73.31,144.49,4703
2018/1/2 11:00,75.77,159.68,4710
2018/1/2 11:30,76.87,129.66,4721
2018/1/2 12:00,78.8,139.65,4703
2018/1/2 12:30,78.67,151.42,4718
2018/1/2 13:00,76.94,140.49,4743
2018/1/2 13:30,81.04,169.21,4773
2018/1/2 14:00,73.05,242.94,4808
2018/1/2 14:30,76.59,224.51,4840
2018/1/2 15:00,68.26,224.9,4829
2018/1/2 15:30,75.28,228.23,4927
2018/1/2 16:00,74.09,220.96,5010
2018/1/2 16:30,74.82,232.71,5102
2018/1/2 17:00,71.29,291.39,5186
2018/1/2 17:30,68.33,267.44,5151
2018/1/2 18:00,69.4,263.84,5075
2018/1/2 18:30,74.12,259.05,5020
2018/1/2 19:00,76.4,258.45,4946
2018/1/2 19:30,67.8,237.79,4868
2018/1/2 20:00,76.62,234.92,4876
2018/1/2 20:30,78.06,233.37,4875
2018/1/2 21:00,68.68,222.63,4783
2018/1/2 21:30,66.61,203.63,4685
2018/1/2 22:00,60.58,211.24,4522
2018/1/2 22:30,63.89,195.81,4448
2018/1/2 23:00,62.97,157.88,4379
2018/1/2 23:30,65.81,176,4616
2018/1/3 0:00,66.02,189.55,4624
2018/1/3 0:30,59.33,151.35,4444
2018/1/3 1:00,55.01,162.32,4296
2018/1/3 1:30,46.83,181.14,4185
2018/1/3 2:00,46.92,199.27,4061
2018/1/3 2:30,49.74,208.08,3960
2018/1/3 3:00,49.37,205.66,3884
2018/1/3 3:30,50.99,211.32,3879
2018/1/3 4:00,52,184.68,3930
2018/1/3 4:30,54.33,165.97,3995
2018/1/3 5:00,55.38,163.18,4088
2018/1/3 5:30,62.36,139.23,4235
2018/1/3 6:00,63.41,119.52,4370
2018/1/3 6:30,67.53,102.34,4551
2018/1/3 7:00,69.86,100.7,4701
2018/1/3 7:30,71.44,122.8,4683
2018/1/3 8:00,71,125.26,4712
2018/1/3 8:30,72.51,129.63,4731
2018/1/3 9:00,73.81,125.08,4732
2018/1/3 9:30,74.1,94.53,4747
2018/1/3 10:00,73.46,108.49,4694
2018/1/3 10:30,71.7,87.84,4683
2018/1/3 11:00,75.72,52.16,4705
2018/1/3 11:30,73.89,51.23,4708
2018/1/3 12:00,76.72,72.5,4633
2018/1/3 12:30,73.1,90.42,4588
2018/1/3 13:00,72.73,84.91,4604
2018/1/3 13:30,72.04,97.55,4574
2018/1/3 14:00,76.79,105.76,4618
2018/1/3 14:30,73.56,105.92,4595
2018/1/3 15:00,74.14,108.6,4677
2018/1/3 15:30,70.81,132.44,4741
2018/1/3 16:00,72.27,151.1,4889
2018/1/3 16:30,70.84,170.68,5003
2018/1/3 17:00,71.56,186.79,5083
2018/1/3 17:30,69.83,196.44,5065
2018/1/3 18:00,66.88,215.15,5046
2018/1/3 18:30,73.66,220.42,5021
2018/1/3 19:00,76.22,225.26,4966
2018/1/3 19:30,77.83,217.14,4882
2018/1/3 20:00,71.99,202.56,4850
2018/1/3 20:30,66.75,164.32,4861
2018/1/3 21:00,63.98,146.14,4800
2018/1/3 21:30,63.74,132.48,4726
2018/1/3 22:00,62.66,105.89,4554
2018/1/3 22:30,62.53,63.04,4484
2018/1/3 23:00,63.84,49.68,4431
2018/1/3 23:30,68.42,45.78,4653
2018/1/4 0:00,69.84,40.14,4622
2018/1/4 0:30,64.18,49.63,4456
2018/1/4 1:00,59.57,53.46,4286
2018/1/4 1:30,49.52,55.19,4182
2018/1/4 2:00,51.14,48.13,4066
2018/1/4 2:30,53.93,39.93,3940
2018/1/4 3:00,54.01,41.5,3899
2018/1/4 3:30,40.4,33.6,3866
2018/1/4 4:00,52.69,21.23,3896
2018/1/4 4:30,53.16,19.64,3970
2018/1/4 5:00,54.53,11.02,4075
2018/1/4 5:30,59.28,12.7,4241
2018/1/4 6:00,61.77,23.55,4386
2018/1/4 6:30,70.66,22.24,4617
2018/1/4 7:00,83.53,15.29,4745
2018/1/4 7:30,80.31,10.53,4703
2018/1/4 8:00,96.98,7.52,4718
2018/1/4 8:30,89.83,5.83,4728
2018/1/4 9:00,91.34,9.8,4729
2018/1/4 9:30,81.61,22.19,4755
2018/1/4 10:00,82.48,33.41,4764
2018/1/4 10:30,84.18,39.71,4757
2018/1/4 11:00,99.17,31.89,4813
2018/1/4 11:30,96.16,27.69,4822
2018/1/4 12:00,89.93,31.6,4884
2018/1/4 12:30,71.07,40.22,4905
2018/1/4 13:00,78.66,40.07,5005
2018/1/4 13:30,73.1,48.34,5032
2018/1/4 14:00,84.93,52.39,5076
2018/1/4 14:30,93.97,60.39,5159
2018/1/4 15:00,82.44,65.79,5252
2018/1/4 15:30,98.26,81.42,5377
2018/1/4 16:00,102.71,83.98,5521
2018/1/4 16:30,88.07,85.54,5600
2018/1/4 17:00,100.23,84.77,5702
2018/1/4 17:30,97.94,77.13,5687
2018/1/4 18:00,95.09,77.73,5648
2018/1/4 18:30,79.99,114.48,5542
2018/1/4 19:00,68.93,150.52,5408
2018/1/4 19:30,88.76,144.07,5310
2018/1/4 20:00,97.99,125.04,5247
2018/1/4 20:30,98.12,135.75,5176
2018/1/4 21:00,90.66,122.03,5074
2018/1/4 21:30,71.57,93.75,4898
2018/1/4 22:00,67.9,94.53,4729
2018/1/4 22:30,64.97,96.3,4626
2018/1/4 23:00,63.21,89.06,4543
2018/1/4 23:30,81.61,81.86,4736
2018/1/5 0:00,114.52,57.71,4727
2018/1/5 0:30,78.06,42.17,4501
2018/1/5 1:00,75.22,30.11,4371
2018/1/5 1:30,61.5,21.05,4262
2018/1/5 2:00,57.48,17.89,4147
2018/1/5 2:30,55.34,16.67,4067
2018/1/5 3:00,56.63,14.41,4018
2018/1/5 3:30,56.06,17.9,3976
2018/1/5 4:00,53.9,16.69,4002
2018/1/5 4:30,58.19,15.14,4089
2018/1/5 5:00,56.53,14.36,4145
2018/1/5 5:30,60.73,14.81,4328
2018/1/5 6:00,73.51,13.02,4458
2018/1/5 6:30,114.61,13.14,4643
2018/1/5 7:00,116.89,1.99,4795
2018/1/5 7:30,76.46,15.33,4775
2018/1/5 8:00,84.37,15.62,4901
2018/1/5 8:30,90.96,18.4,4948
2018/1/5 9:00,92.82,22.32,4964
2018/1/5 9:30,88.26,24.4,4995
2018/1/5 10:00,76.6,24.89,4973
2018/1/5 10:30,77.9,27.5,5042
2018/1/5 11:00,74.84,30.74,5055
2018/1/5 11:30,83.97,29.11,5143
2018/1/5 12:00,97.11,28.5,5179
2018/1/5 12:30,113.38,23.07,5259
2018/1/5 13:00,90.12,30.95,5356
2018/1/5 13:30,100.31,49.17,5453
2018/1/5 14:00,97.01,65.38,5575
2018/1/5 14:30,115.06,50.5,5739
2018/1/5 15:00,95.8,68.78,5882
2018/1/5 15:30,98.74,70.24,6104
2018/1/5 16:00,109.68,67.7,6343
2018/1/5 16:30,109.39,61.02,6442
2018/1/5 17:00,128.02,53.62,6612
2018/1/5 17:30,115.64,49.25,6563
2018/1/5 18:00,150.99,46.83,6625
2018/1/5 18:30,146.27,42.18,6575
2018/1/5 19:00,106.28,35.98,6456
2018/1/5 19:30,84.57,34.45,6195
2018/1/5 20:00,99.45,23.82,6058
2018/1/5 20:30,97.58,28.41,5885
2018/1/5 21:00,80.73,28.99,5736
2018/1/5 21:30,77.38,26.88,5502
2018/1/5 22:00,76.58,38.9,5285
2018/1/5 22:30,65.34,50.08,5072
2018/1/5 23:00,68.11,69.23,4946
2018/1/5 23:30,69.87,75.22,5105
2018/1/6 0:00,66.67,67.83,5044
2018/1/6 0:30,66.99,73.22,4804
2018/1/6 1:00,59.36,97.13,4625
2018/1/6 1:30,54.38,124.41,4480
2018/1/6 2:00,48.43,150.13,4352
2018/1/6 2:30,38.51,195.93,4224
2018/1/6 3:00,33.7,257.17,4162
2018/1/6 3:30,35.36,276.6,4091
2018/1/6 4:00,36.97,303.79,4121
2018/1/6 4:30,37.96,324.45,4213
2018/1/6 5:00,36,311.09,4256
2018/1/6 5:30,35.89,314.89,4316
2018/1/6 6:00,37.78,309.08,4384
2018/1/6 6:30,49.49,318.57,4541
2018/1/6 7:00,52.53,324.83,4707
2018/1/6 7:30,55.08,309.05,4793
2018/1/6 8:00,58.68,304.06,4965
2018/1/6 8:30,61.47,313.2,5195
2018/1/6 9:00,67.79,370.07,5461
2018/1/6 9:30,78.25,392.56,5685
2018/1/6 10:00,82.96,397.13,5948
2018/1/6 10:30,72.1,391.55,6176
2018/1/6 11:00,64.6,386.46,6408
2018/1/6 11:30,73.13,373.89,6612
2018/1/6 12:00,71.96,359.9,6755
2018/1/6 12:30,76.06,333.85,6940
2018/1/6 13:00,86.09,330.65,7109
2018/1/6 13:30,82.64,323.89,7281
2018/1/6 14:00,85.54,290.23,7445
2018/1/6 14:30,87.83,269.1,7598
2018/1/6 15:00,96.44,257.18,7753
2018/1/6 15:30,99.85,222.92,7936
2018/1/6 16:00,106.35,138.23,8094
2018/1/6 16:30,111.8,131.1,8101
2018/1/6 17:00,102.51,228.97,8059
2018/1/6 17:30,91.14,348.1,7624
2018/1/6 18:00,92.48,293.88,7278
2018/1/6 18:30,94.44,243.88,6973
2018/1/6 19:00,100.53,258.7,6649
2018/1/6 19:30,98.15,276.13,6403
2018/1/6 20:00,89.99,251.05,6208
2018/1/6 20:30,87.95,252.75,6146
2018/1/6 21:00,84.85,232.59,5997
2018/1/6 21:30,79.41,222.28,5769
2018/1/6 22:00,67.25,237.71,5518
2018/1/6 22:30,71.34,217.15,5297
2018/1/6 23:00,67.42,215.5,5112
2018/1/6 23:30,71.55,210.32,5163
2018/1/7 0:00,83.63,202.42,5025
2018/1/7 0:30,66.92,193.05,4749
2018/1/7 1:00,69.28,197.7,4570
2018/1/7 1:30,59.87,168.48,4442
2018/1/7 2:00,54.62,155.71,4272
2018/1/7 2:30,53.76,123.28,4162
2018/1/7 3:00,53.09,108.12,4068
2018/1/7 3:30,54.41,120.87,4030
2018/1/7 4:00,52.99,107.12,4060
2018/1/7 4:30,52.82,94.33,4077
2018/1/7 5:00,49.79,113.74,4076
2018/1/7 5:30,52.57,117.85,4078
2018/1/7 6:00,53.47,110.98,4066
2018/1/7 6:30,52.47,119.68,4099
2018/1/7 7:00,54.42,101.75,4170
2018/1/7 7:30,59.55,116.9,4184
2018/1/7 8:00,64.85,160.77,4258
2018/1/7 8:30,71.57,176.22,4377
2018/1/7 9:00,83.86,143.4,4457
2018/1/7 9:30,82.87,82.87,4531
2018/1/7 10:00,79.59,36.76,4559
2018/1/7 10:30,82.66,56.05,4559
2018/1/7 11:00,85.88,78.68,4567
2018/1/7 11:30,77.65,105.74,4536
2018/1/7 12:00,90.67,76.12,4539
2018/1/7 12:30,87.49,61.84,4544
2018/1/7 13:00,87.65,50.09,4581
2018/1/7 13:30,88.05,46.92,4567
2018/1/7 14:00,90.87,49.4,4616
2018/1/7 14:30,93.31,54.12,4670
2018/1/7 15:00,105.33,65.22,4755
2018/1/7 15:30,110.22,64.77,4832
2018/1/7 16:00,106.82,63.81,4896
2018/1/7 16:30,117.24,70.42,4994
2018/1/7 17:00,125.39,76.49,5098
2018/1/7 17:30,109.94,77.92,5127
2018/1/7 18:00,98.71,70.23,5144
2018/1/7 18:30,91.68,41.54,5090
2018/1/7 19:00,105.33,33.22,5057
2018/1/7 19:30,97.78,25.93,4983
2018/1/7 20:00,90.13,20.51,4950
2018/1/7 20:30,87.9,18.32,4968
2018/1/7 21:00,82.3,24.66,4860
2018/1/7 21:30,77.87,33.66,4736
2018/1/7 22:00,66.59,33.4,4589
2018/1/7 22:30,92.33,29.72,4479
2018/1/7 23:00,84.28,28.06,4438
2018/1/7 23:30,79.27,25.85,4627
2018/1/8 0:00,96.64,20.54,4632
2018/1/8 0:30,96.04,19.3,4438
2018/1/8 1:00,101.95,34,4312
2018/1/8 1:30,66.57,59.59,4206
2018/1/8 2:00,56.5,74.88,4108
2018/1/8 2:30,56.17,108.13,4062
2018/1/8 3:00,55.96,84.81,4010
2018/1/8 3:30,56.38,50.85,4007
2018/1/8 4:00,56.22,51.58,4034
2018/1/8 4:30,60.28,58.78,4157
2018/1/8 5:00,91.8,43.52,4222
2018/1/8 5:30,93.24,53.65,4435
2018/1/8 6:00,105.93,51.61,4629
2018/1/8 6:30,94.39,51.57,4883
2018/1/8 7:00,108.6,41.26,5099
2018/1/8 7:30,81.84,68.35,5176
2018/1/8 8:00,84.96,80.34,5280
2018/1/8 8:30,87,68.53,5380
2018/1/8 9:00,87,81.96,5382
2018/1/8 9:30,87,74.43,5435
2018/1/8 10:00,87,49.92,5434
2018/1/8 10:30,91.15,46.55,5493
2018/1/8 11:00,97.84,33.65,5456
2018/1/8 11:30,94.35,25.95,5452
2018/1/8 12:00,92.21,21.17,5431
2018/1/8 12:30,98.01,10.86,5486
2018/1/8 13:00,100.65,5.98,5559
2018/1/8 13:30,101.85,19.11,5593
2018/1/8 14:00,96.5,21.96,5558
2018/1/8 14:30,91.1,23.8,5521
2018/1/8 15:00,95.94,25.59,5493
2018/1/8 15:30,92.27,26.77,5547
2018/1/8 16:00,96.96,28.9,5614
2018/1/8 16:30,95.94,31.1,5747
2018/1/8 17:00,96.91,36.83,5841
2018/1/8 17:30,86.83,38.97,5699
2018/1/8 18:00,87,46.26,5604
2018/1/8 18:30,87,68.69,5458
2018/1/8 19:00,87,105.19,5360
2018/1/8 19:30,87.23,125.94,5266
2018/1/8 20:00,86.96,142.56,5236
2018/1/8 20:30,87,155.4,5221
2018/1/8 21:00,86.78,172.84,5089
2018/1/8 21:30,87,167.05,4958
2018/1/8 22:00,80.01,163.07,4771
2018/1/8 22:30,85.05,175.24,4643
2018/1/8 23:00,82.94,187.78,4591
2018/1/8 23:30,87.73,168.31,4769
2018/1/9 0:00,85.08,166.85,4761
2018/1/9 0:30,81.79,160.87,4572
2018/1/9 1:00,77.72,142.62,4409
2018/1/9 1:30,77.04,131.03,4293
2018/1/9 2:00,75.53,135.45,4172
2018/1/9 2:30,68.56,151.49,4076
2018/1/9 3:00,66.64,174.35,4022
2018/1/9 3:30,58.66,181.04,4055
2018/1/9 4:00,56.79,161.31,4110
2018/1/9 4:30,55.68,170.65,4211
2018/1/9 5:00,58.32,181.55,4315
2018/1/9 5:30,57.54,172.27,4471
2018/1/9 6:00,57.88,195.85,4648
2018/1/9 6:30,68.04,236.7,4893
2018/1/9 7:00,75.92,225.73,5046
2018/1/9 7:30,77.98,173.55,5064
2018/1/9 8:00,78.13,201.95,5134
2018/1/9 8:30,74.01,244.91,5140
2018/1/9 9:00,74.04,259.38,5135
2018/1/9 9:30,76.04,251.13,5122
2018/1/9 10:00,74.59,243.57,5155
2018/1/9 10:30,77.82,229.72,5189
2018/1/9 11:00,88.61,225.1,5215
2018/1/9 11:30,88.77,226.65,5156
2018/1/9 12:00,87.4,214.64,5130
2018/1/9 12:30,84.79,195.37,5135
2018/1/9 13:00,84.4,186.9,5102
2018/1/9 13:30,80.83,194.61,5076
2018/1/9 14:00,67.1,199.96,5065
2018/1/9 14:30,71.27,205.49,5005
2018/1/9 15:00,71.37,212.69,5069
2018/1/9 15:30,71.07,205.73,5091
2018/1/9 16:00,80.38,203.88,5179
2018/1/9 16:30,85.8,206.7,5269
2018/1/9 17:00,111.63,193.77,5308
2018/1/9 17:30,97.13,195.12,5258
2018/1/9 18:00,97.76,195.9,5265
2018/1/9 18:30,73.53,203.29,5178
2018/1/9 19:00,76.4,190.84,5120
2018/1/9 19:30,72.77,168.71,4990
2018/1/9 20:00,74.92,151.38,4961
2018/1/9 20:30,81.01,143.8,4973
2018/1/9 21:00,81.5,148.26,4880
2018/1/9 21:30,75.37,154.78,4741
2018/1/9 22:00,67.06,163.51,4597
2018/1/9 22:30,71.86,171.88,4483
2018/1/9 23:00,68.5,171.38,4433
2018/1/9 23:30,89.95,174.91,4620
2018/1/10 0:00,82.63,180.03,4632
2018/1/10 0:30,64.01,184.17,4447
2018/1/10 1:00,60.62,161.02,4349
2018/1/10 1:30,57.29,121.59,4233
2018/1/10 2:00,53.96,118.75,4149
2018/1/10 2:30,55.25,152.5,4050
2018/1/10 3:00,53.47,152.69,4033
2018/1/10 3:30,56.32,173.44,4020
2018/1/10 4:00,52.51,159.65,4056
2018/1/10 4:30,56.64,157.07,4162
2018/1/10 5:00,53.04,194.95,4283
2018/1/10 5:30,59.89,213.64,4404
2018/1/10 6:00,60.72,211.39,4581
