,Time (UTC+10),Regions VIC Trading Price ($/MWh),raw_power,dispatch,revenue,opening,closing,charge_forecast,discharge_forecast
44544,2020-07-17 00:00:00,79.09,0,0,0,0,0,0,1
44545,2020-07-17 00:30:00,75.51,0,0,0,0,0,0,1
44546,2020-07-17 01:00:00,73.98,0,0,0,0,0,0,0
44547,2020-07-17 01:30:00,75.57,0,0,0,0,0,0,1
44548,2020-07-17 02:00:00,71.94,0,0,0,0,0,0,0
44549,2020-07-17 02:30:00,74.1,0,0,0,0,0,0,0
44550,2020-07-17 03:00:00,67.36,0,0,0,0,0,0,0
44551,2020-07-17 03:30:00,58.04,-300,-150,-8785,0,135,1,0
44552,2020-07-17 04:00:00,51.85,-300,-150,-7848,135,270,1,0
44553,2020-07-17 04:30:00,74.53,0,0,0,270,270,0,0
44554,2020-07-17 05:00:00,67.32,-300,-150,-10190,270,405,1,0
44555,2020-07-17 05:30:00,69.14,-300,-150,-10465,405,540,1,0
44556,2020-07-17 06:00:00,64.99,-88,-44,-2886,540,580,1,0
44557,2020-07-17 06:30:00,65.35,0,0,0,580,580,1,0
44558,2020-07-17 07:00:00,76.16,0,0,0,580,580,0,0
44559,2020-07-17 07:30:00,79.41,0,0,0,580,580,0,0
44560,2020-07-17 08:00:00,83.26,0,0,0,580,580,0,0
44561,2020-07-17 08:30:00,153.81,300,135,20577,580,430,0,1
44562,2020-07-17 09:00:00,93.68,300,135,12533,430,280,0,1
44563,2020-07-17 09:30:00,72.65,0,0,0,280,280,0,0
44564,2020-07-17 10:00:00,71.66,0,0,0,280,280,0,0
44565,2020-07-17 10:30:00,110.29,300,135,14755,280,130,0,1
44566,2020-07-17 11:00:00,72.7,288,130,9366,130,0,0,1
44567,2020-07-17 11:30:00,76.14,0,0,0,0,0,0,1
44568,2020-07-17 12:00:00,63.2,0,0,0,0,0,0,0
44569,2020-07-17 12:30:00,71.71,0,0,0,0,0,0,1
44570,2020-07-17 13:00:00,67.72,0,0,0,0,0,0,0
44571,2020-07-17 13:30:00,46.23,0,0,0,0,0,0,0
44572,2020-07-17 14:00:00,39.75,-300,-150,-6017,0,135,1,0
44573,2020-07-17 14:30:00,39.94,-300,-150,-6045,135,270,1,0
44574,2020-07-17 15:00:00,39.97,-300,-150,-6050,270,405,1,0
44575,2020-07-17 15:30:00,42.72,-300,-150,-6466,405,540,1,0
44576,2020-07-17 16:00:00,55.85,-88,-44,-2480,540,580,1,0
44577,2020-07-17 16:30:00,66.67,0,0,0,580,580,1,0
44578,2020-07-17 17:00:00,71.83,0,0,0,580,580,0,0
44579,2020-07-17 17:30:00,73.94,0,0,0,580,580,0,0
44580,2020-07-17 18:00:00,163.47,300,135,21870,580,430,0,1
44581,2020-07-17 18:30:00,137.1,300,135,18342,430,280,0,1
44582,2020-07-17 19:00:00,73.85,300,135,9880,280,130,0,1
44583,2020-07-17 19:30:00,72.12,288,130,9291,130,0,0,1
44584,2020-07-17 20:00:00,67.65,0,0,0,0,0,0,1
44585,2020-07-17 20:30:00,73.96,0,0,0,0,0,0,1
44586,2020-07-17 21:00:00,59.97,0,0,0,0,0,0,1
44587,2020-07-17 21:30:00,58.53,0,0,0,0,0,0,1
44588,2020-07-17 22:00:00,57.89,0,0,0,0,0,0,1
44589,2020-07-17 22:30:00,56.54,0,0,0,0,0,0,1
44590,2020-07-17 23:00:00,48.7,0,0,0,0,0,0,1
44591,2020-07-17 23:30:00,49.6,0,0,0,0,0,0,1
