Time (UTC+10),Regions VIC Trading Price ($/MWh),Regions VIC Trading Total Intermittent Generation (MW),Regions VIC Operational Demand (MW),Time,Hour,Day
2018-01-01 00:00:00,90.43,146.87,4599,00:00:00,0,1
2018-01-01 00:30:00,92.46,131.68,4398,00:30:00,0,1
2018-01-01 01:00:00,87.62,119.98,4238,01:00:00,1,1
2018-01-01 01:30:00,73.08,123.86,4112,01:30:00,1,1
2018-01-01 02:00:00,70.18,132.72,3956,02:00:00,2,1
2018-01-01 02:30:00,67.43,120.73,3833,02:30:00,2,1
2018-01-01 03:00:00,66.31,128.69,3749,03:00:00,3,1
2018-01-01 03:30:00,67.72,122.97,3702,03:30:00,3,1
2018-01-01 04:00:00,65.5,116.66,3688,04:00:00,4,1
2018-01-01 04:30:00,64.5,125.17,3700,04:30:00,4,1
2018-01-01 05:00:00,65.41,112.73,3701,05:00:00,5,1
2018-01-01 05:30:00,63.66,126.54,3721,05:30:00,5,1
2018-01-01 06:00:00,59.9,149.29,3731,06:00:00,6,1
2018-01-01 06:30:00,64.67,159.9,3786,06:30:00,6,1
2018-01-01 07:00:00,66.89,155.03,3811,07:00:00,7,1
2018-01-01 07:30:00,67.06,124.56,3776,07:30:00,7,1
2018-01-01 08:00:00,67.49,105.21,3802,08:00:00,8,1
2018-01-01 08:30:00,67.12,83.25,3835,08:30:00,8,1
2018-01-01 09:00:00,67.47,66.24,3829,09:00:00,9,1
2018-01-01 09:30:00,71.02,73.56,3856,09:30:00,9,1
2018-01-01 10:00:00,71.08,84.96,3846,10:00:00,10,1
2018-01-01 10:30:00,71.13,64.0,3833,10:30:00,10,1
2018-01-01 11:00:00,74.86,81.7,3834,11:00:00,11,1
2018-01-01 11:30:00,72.45,113.44,3844,11:30:00,11,1
2018-01-01 12:00:00,66.51,122.39,3865,12:00:00,12,1
2018-01-01 12:30:00,64.77,129.18,3871,12:30:00,12,1
2018-01-01 13:00:00,70.02,118.18,3888,13:00:00,13,1
2018-01-01 13:30:00,76.04,132.45,3941,13:30:00,13,1
2018-01-01 14:00:00,76.8,136.74,4022,14:00:00,14,1
2018-01-01 14:30:00,76.77,142.04,4118,14:30:00,14,1
2018-01-01 15:00:00,73.21,121.6,4241,15:00:00,15,1
2018-01-01 15:30:00,78.59,109.16,4383,15:30:00,15,1
2018-01-01 16:00:00,85.27,101.92,4527,16:00:00,16,1
2018-01-01 16:30:00,80.8,104.47,4687,16:30:00,16,1
2018-01-01 17:00:00,81.76,105.16,4809,17:00:00,17,1
2018-01-01 17:30:00,75.14,109.4,4863,17:30:00,17,1
2018-01-01 18:00:00,73.45,124.84,4880,18:00:00,18,1
2018-01-01 18:30:00,68.77,151.51,4840,18:30:00,18,1
2018-01-01 19:00:00,70.64,181.25,4760,19:00:00,19,1
2018-01-01 19:30:00,67.8,185.54,4667,19:30:00,19,1
2018-01-01 20:00:00,73.9,179.73,4602,20:00:00,20,1
2018-01-01 20:30:00,77.97,172.92,4602,20:30:00,20,1
2018-01-01 21:00:00,70.04,175.67,4516,21:00:00,21,1
2018-01-01 21:30:00,71.25,166.08,4425,21:30:00,21,1
2018-01-01 22:00:00,66.06,158.81,4329,22:00:00,22,1
2018-01-01 22:30:00,64.77,114.76,4254,22:30:00,22,1
2018-01-01 23:00:00,61.09,96.57,4228,23:00:00,23,1
2018-01-01 23:30:00,63.55,100.23,4429,23:30:00,23,1
2018-01-02 00:00:00,60.31,100.61,4436,00:00:00,0,2
2018-01-02 00:30:00,57.33,105.78,4259,00:30:00,0,2
2018-01-02 01:00:00,56.32,118.78,4123,01:00:00,1,2
2018-01-02 01:30:00,51.96,111.36,4032,01:30:00,1,2
2018-01-02 02:00:00,53.57,90.74,3899,02:00:00,2,2
2018-01-02 02:30:00,52.5,89.41,3799,02:30:00,2,2
2018-01-02 03:00:00,53.61,87.41,3750,03:00:00,3,2
2018-01-02 03:30:00,53.13,87.9,3744,03:30:00,3,2
2018-01-02 04:00:00,53.75,76.44,3757,04:00:00,4,2
2018-01-02 04:30:00,51.11,75.28,3844,04:30:00,4,2
2018-01-02 05:00:00,66.34,78.21,3937,05:00:00,5,2
2018-01-02 05:30:00,67.81,55.39,4071,05:30:00,5,2
2018-01-02 06:00:00,69.3,66.86,4198,06:00:00,6,2
2018-01-02 06:30:00,68.97,69.5,4405,06:30:00,6,2
2018-01-02 07:00:00,77.13,62.01,4570,07:00:00,7,2
2018-01-02 07:30:00,72.24,81.57,4579,07:30:00,7,2
2018-01-02 08:00:00,73.57,117.11,4666,08:00:00,8,2
2018-01-02 08:30:00,77.12,130.06,4689,08:30:00,8,2
2018-01-02 09:00:00,82.21,101.0,4687,09:00:00,9,2
2018-01-02 09:30:00,77.9,141.79,4699,09:30:00,9,2
2018-01-02 10:00:00,71.6,151.29,4703,10:00:00,10,2
2018-01-02 10:30:00,73.31,144.49,4703,10:30:00,10,2
2018-01-02 11:00:00,75.77,159.68,4710,11:00:00,11,2
2018-01-02 11:30:00,76.87,129.66,4721,11:30:00,11,2
2018-01-02 12:00:00,78.8,139.65,4703,12:00:00,12,2
2018-01-02 12:30:00,78.67,151.42,4718,12:30:00,12,2
2018-01-02 13:00:00,76.94,140.49,4743,13:00:00,13,2
